Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Consistency_BALD,Consistency,BALD,66.0,72.0,78.0,73.0,74.0,74.0,72.0,77.0,78.0,72.0,75.0
Consistency_BALD,Consistency,BALD,66.0,66.0,75.0,82.0,77.0,78.0,78.0,80.0,81.0,78.0,75.0
Entropy_BALD,Entropy,BALD,51.0,56.00000000000001,52.0,50.0,51.0,55.00000000000001,55.00000000000001,63.0,67.0,62.0,65.0
Entropy_BALD,Entropy,BALD,51.0,48.0,49.0,51.0,53.0,56.99999999999999,54.0,56.00000000000001,59.0,61.0,64.0
Entropy_BALD,Entropy,BALD,51.0,53.0,55.00000000000001,56.99999999999999,57.99999999999999,61.0,67.0,65.0,66.0,64.0,65.0
Entropy_BALD,Entropy,BALD,51.0,59.0,61.0,56.00000000000001,64.0,66.0,66.0,62.0,64.0,63.0,60.0
Entropy_BALD,Entropy,BALD,51.0,44.0,45.0,44.0,51.0,54.0,51.0,54.0,53.0,62.0,60.0
Margin_BALD,Margin,BALD,67.0,68.0,69.0,70.0,71.0,72.0,71.0,70.0,76.0,74.0,77.0
Margin_BALD,Margin,BALD,67.0,76.0,77.0,79.0,77.0,77.0,76.0,77.0,78.0,78.0,79.0
Margin_BALD,Margin,BALD,67.0,64.0,69.0,74.0,77.0,76.0,76.0,76.0,76.0,76.0,77.0
Margin_BALD,Margin,BALD,67.0,64.0,67.0,66.0,64.0,66.0,67.0,71.0,72.0,74.0,66.0
Margin_BALD,Margin,BALD,67.0,69.0,67.0,70.0,71.0,66.0,69.0,69.0,69.0,70.0,70.0
BALD_BALD,BALD,BALD,43.0,51.0,48.0,54.0,57.99999999999999,61.0,67.0,64.0,61.0,66.0,69.0
BALD_BALD,BALD,BALD,43.0,45.0,52.0,63.0,61.0,66.0,64.0,63.0,70.0,71.0,70.0
BALD_BALD,BALD,BALD,43.0,46.0,48.0,49.0,54.0,56.00000000000001,56.00000000000001,55.00000000000001,56.00000000000001,57.99999999999999,60.0
BALD_BALD,BALD,BALD,43.0,47.0,57.99999999999999,53.0,54.0,56.00000000000001,59.0,60.0,55.00000000000001,60.0,71.0
BALD_BALD,BALD,BALD,43.0,45.0,46.0,53.0,54.0,56.00000000000001,56.99999999999999,54.0,59.0,60.0,65.0
VAAL_BALD,VAAL,BALD,49.0,56.00000000000001,50.0,55.00000000000001,51.0,61.0,62.0,67.0,69.0,71.0,70.0
VAAL_BALD,VAAL,BALD,49.0,53.0,66.0,69.0,63.0,68.0,69.0,72.0,77.0,79.0,82.0
VAAL_BALD,VAAL,BALD,49.0,63.0,51.0,56.00000000000001,56.00000000000001,66.0,67.0,67.0,81.0,82.0,81.0
VAAL_BALD,VAAL,BALD,49.0,47.0,55.00000000000001,59.0,64.0,72.0,77.0,80.0,80.0,80.0,77.0
VAAL_BALD,VAAL,BALD,49.0,55.00000000000001,55.00000000000001,74.0,77.0,80.0,80.0,79.0,79.0,78.0,80.0
Coreset_BALD,Coreset,BALD,66.0,73.0,71.0,78.0,74.0,83.0,84.0,83.0,83.0,82.0,78.0
Coreset_BALD,Coreset,BALD,66.0,66.0,60.0,66.0,73.0,71.0,76.0,77.0,81.0,78.0,80.0
Coreset_BALD,Coreset,BALD,66.0,67.0,75.0,78.0,79.0,79.0,75.0,80.0,78.0,78.0,79.0
Coreset_BALD,Coreset,BALD,66.0,66.0,70.0,71.0,71.0,73.0,72.0,77.0,70.0,68.0,71.0
