Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,75.65
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,76.41
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,76.15
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,77.46
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,78.87
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,63.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,66.03
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,64.92
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,66.53
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,72.9
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,74.25
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,75.15
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,78.63
